Serial_Number,List_Year,Date_Recorded,Town,Address,Assessed_Value,Sale_Amount,Sales_Ratio,Property_Type,Residential_Type,Non_Use_Code,Assessor_Remarks,OPM_remarks,Location,Latitude,Longitude,exact_loc
210095,2021,1/31/2022,East Windsor,8E PASCO DR,92810,187000,0.496300012,Commercial,,,,,-72.612491724 41.908561138,41.90856114,-72.61249172,"2, Pasco Drive, 06088, Pasco Drive, East Windsor, CT, United States"
21150,2021,1/31/2022,Monroe,163 HIGHLAND DR,130300,259250,0.502600014,Residential,Condo,,CORRECTIVE DEED TO FOLLOW,,-73.194571004 41.363048019,41.36304802,-73.194571,"Highland Drive, 06468, Monroe, United States"
210481,2021,1/31/2022,New Britain,95B-6B CLINIC DR,41440,71000,0.583599985,Residential,Condo,,,,-72.78458404 41.64814299,41.64814299,-72.78458404,"93, Clinic Drive, 06051, Clinic Drive, New Britain, CT, United States"
210718,2021,1/31/2022,Middletown,42 MIDDLEFIELD ST,119120,245000,0.486200005,Residential,Single Family,,,,-72.674026989 41.55079498,41.55079498,-72.67402699,"81, Middlefield Street, 06457, Middlefield Street, Middletown, CT, United States"
210492,2021,1/31/2022,Bristol,129 CAROL DRIVE,84380,165000,0.511300027,Residential,Single Family,,,,-72.911598958 41.691023005,41.69102301,-72.91159896,"129, Carol Drive, 06010, Carol Drive, Bristol, CT, United States"
21201,2021,1/31/2022,Farmington,14 STREAM COURT,154210,280000,0.550700009,Residential,Condo,,,,-72.875744027 41.731196,41.731196,-72.87574403,"Stream Court, 06032, Farmington, United States"
2100114,2021,1/31/2022,East Hampton,41 DAY POINT RD,488680,795000,0.614600003,Residential,Single Family,,,,-72.496623002 41.587541998,41.587542,-72.496623,"41, Day Point Road, 06424, Day Point Road, East Hampton, CT, United States"
210226,2021,1/31/2022,Branford,25 FARM RIVER RD,164300,286000,0.574400008,Residential,Single Family,,,,-72.850478959 41.26076202,41.26076202,-72.85047896,"25, Farm River Road, 06405, Farm River Road, Branford, CT, United States"
210154,2021,1/31/2022,New Canaan,123 HEMLOCK HILL RD,2018170,4025000,0.501399994,Residential,Single Family,,,,-73.515249963 41.162546985,41.16254699,-73.51524996,"123, Hemlock Hill Road, 06840, Hemlock Hill Road, New Canaan, CT, United States"
210224,2021,1/31/2022,Branford,34 NEWTON RD,141200,223000,0.633099973,Residential,Single Family,,,,-72.799342979 41.265205015,41.26520502,-72.79934298,"34, Newton Road, 06405, Newton Road, Branford, CT, United States"
