Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
210095,2021,1/31/2022,East Windsor,8E PASCO DR,"92,810.00","187,000.00",0.4963,Commercial,,,,,POINT (-72.612491724 41.908561138)
21150,2021,1/31/2022,Monroe,163 HIGHLAND DR,"130,300.00","259,250.00",0.5026,Residential,Condo,,CORRECTIVE DEED TO FOLLOW,,POINT (-73.194571004 41.363048019)
210481,2021,1/31/2022,New Britain,95B-6B CLINIC DR,"41,440.00","71,000.00",0.5836,Residential,Condo,,,,POINT (-72.78458404 41.64814299)
210718,2021,1/31/2022,Middletown,42 MIDDLEFIELD ST,"119,120.00","245,000.00",0.4862,Residential,Single Family,,,,POINT (-72.674026989 41.55079498)
210492,2021,1/31/2022,Bristol,129 CAROL DRIVE,"84,380.00","165,000.00",0.5113,Residential,Single Family,,,,POINT (-72.911598958 41.691023005)
21201,2021,1/31/2022,Farmington,14 STREAM COURT,"154,210.00","280,000.00",0.5507,Residential,Condo,,,,POINT (-72.875744027 41.731196)
2100114,2021,1/31/2022,East Hampton,41 DAY POINT RD,"488,680.00","795,000.00",0.6146,Residential,Single Family,,,,POINT (-72.496623002 41.587541998)
210226,2021,1/31/2022,Branford,25 FARM RIVER RD,"164,300.00","286,000.00",0.5744,Residential,Single Family,,,,POINT (-72.850478959 41.26076202)
210154,2021,1/31/2022,New Canaan,123 HEMLOCK HILL RD,"2,018,170.00","4,025,000.00",0.5014,Residential,Single Family,,,,POINT (-73.515249963 41.162546985)
210224,2021,1/31/2022,Branford,34 NEWTON RD,"141,200.00","223,000.00",0.6331,Residential,Single Family,,,,POINT (-72.799342979 41.265205015)
21000178,2021,1/31/2022,Cheshire,1022 SUMMIT RD,"201,130.00","199,500.00",1.0081,Residential,Single Family,08 - Part Interest,1/2 INTEREST,,POINT (-72.95595599 41.531345989)
210862,2021,1/31/2022,Bridgeport,355 RUTH ST,"134,860.00","225,000.00",0.599377778,Residential,Single Family,25 - Other,,SHORT SALE PER MLS,POINT (-73.217419988 41.20903302)
2121120,2021,1/31/2022,Ansonia,175 DIVISION ST,"133,100.00","357,000.00",0.3728,Residential,Two Family,,,,POINT (-73.089420029 41.337692007)
210861,2021,1/31/2022,Bridgeport,76 LYON TERRACE,"297,920.00","495,000.00",0.601858586,Commercial,,,,,POINT (-73.192592959 41.180925021)
210220,2021,1/31/2022,Glastonbury,30 STONY BROOK DR  7A3,"68,900.00","142,500.00",0.4835,Residential,Condo,,,,POINT (-72.571134014 41.719449014)
21183,2021,1/31/2022,Guilford,1231 MOOSE HILL RD,"285,920.00","450,000.00",0.6353,Residential,Single Family,,,,POINT (-72.720479999 41.295372993)
210561,2021,1/31/2022,Danbury,14 HIGHLAND AV,"146,700.00","335,000.00",0.4379,Residential,Single Family,,H13133,,POINT (-73.465286025 41.397898002)
210139,2021,1/31/2022,Killingly,59 BROAD ST,"111,860.00","187,500.00",0.596586667,Residential,Three Family,,,,POINT (-71.880553035 41.799574016)
210497,2021,1/31/2022,Bristol,367 VILLAGE STREET,"258,230.00","475,000.00",0.5436,Residential,Single Family,,,,POINT (-72.888513018 41.649211013)
21204,2021,1/31/2022,Farmington,36 WESTVIEW TERR,"219,640.00","461,000.00",0.4764,Residential,Single Family,,,,POINT (-72.877992975 41.743636002)
21000080,2021,1/31/2022,Granby,33 MOOSE HORN RD,"168,630.00","220,000.00",0.7665,Vacant Land,,,,,POINT (-72.892665986 41.986622005)
21037,2021,1/31/2022,Deep River,12 BELMONT AVE,"147,770.00","40,000.00",3.6942,Residential,Single Family,01 - Family,,,POINT (-72.431325965 41.379163988)
210128,2021,1/31/2022,Berlin,1035 WORTHINGTON RDG,"346,600.00","409,900.00",0.845572091,Residential,Single Family,,,,POINT (-72.746732036 41.615091009)
